# PALO DATABASE DATA
# 
# Description of data:
# SIZE_DIMENSIONS;SIZE_CUBES;TYPE
[DATABASE]
31;33;1;
# Description of data:
# ID;NAME;TYPE;...
[DIMENSIONS]
0;"#_GROUP_";3;"System";"#_GROUP_";0;0;0;
1;"#_CUBE_";5;0;0;0;
2;"Months";1;1;1;1;
3;"#_Months_";4;0;0;1;
4;"Years";1;1;1;1;
5;"#_Years_";4;0;0;1;
6;"Regions";1;1;1;1;
7;"#_Regions_";4;0;0;1;
8;"Datatypes";1;1;1;1;
9;"#_Datatypes_";4;0;0;1;
10;"Measures";1;1;1;1;
11;"#_Measures_";4;0;0;1;
12;"Products";1;1;1;1;
13;"#_Products_";4;0;0;1;
14;"#_#_CUBE__";4;0;0;1;
15;"#_USER_";3;"System";"#_USER_";0;0;0;
16;"#_CONFIGURATION_";6;0;0;1;
17;"#_DIMENSION_";7;0;0;1;
18;"#_#_DIMENSION__";4;0;0;1;
19;"#_SUBSET_";8;0;0;1;
20;"#_#_SUBSET__";4;0;0;1;
21;"#_VIEW_";8;0;0;1;
22;"#_#_VIEW__";4;0;0;1;
# Description of data: 
# ID;NAME,LEVEL,INDENT,DEPTH,SIZE_ELEMENTS; 
[DIMENSION 1]
1;"#_CUBE_";0;1;0;3;
# Description of data: 
# ID;NAME,POSITION,TYPE,STRING_CONSOLIDATION,LEVEL,INDENT,DEPTH,PARENTS,CHILDREN,CHILDREN_WEIGHT; 
[ELEMENTS DIMENSION 1]
0;"Sales";0;2;0;0;1;0;;;;
# Description of data: 
# ID;NAME,LEVEL,INDENT,DEPTH,SIZE_ELEMENTS; 
[DIMENSION 2]
2;"Months";2;3;2;17;
# Description of data: 
# ID;NAME,POSITION,TYPE,STRING_CONSOLIDATION,LEVEL,INDENT,DEPTH,PARENTS,CHILDREN,CHILDREN_WEIGHT; 
[ELEMENTS DIMENSION 2]
0;"Jan";0;1;0;0;3;2;12;;;
1;"Feb";1;1;0;0;3;2;12;;;
2;"Mar";2;1;0;0;3;2;12;;;
3;"Apr";3;1;0;0;3;2;13;;;
4;"May";4;1;0;0;3;2;13;;;
5;"Jun";5;1;0;0;3;2;13;;;
6;"Jul";6;1;0;0;3;2;14;;;
7;"Aug";7;1;0;0;3;2;14;;;
8;"Sep";8;1;0;0;3;2;14;;;
9;"Oct";9;1;0;0;3;2;15;;;
10;"Nov";10;1;0;0;3;2;15;;;
11;"Dec";11;1;0;0;3;2;15;;;
12;"Qtr. 1";12;4;0;1;2;1;16;0,1,2;1,1,1;
13;"Qtr. 2";13;4;0;1;2;1;16;3,4,5;1,1,1;
14;"Qtr. 3";14;4;0;1;2;1;16;6,7,8;1,1,1;
15;"Qtr. 4";15;4;0;1;2;1;16;9,10,11;1,1,1;
16;"Year";16;4;0;2;1;0;;12,13,14,15;1,1,1,1;
# Description of data: 
# ID;NAME,LEVEL,INDENT,DEPTH,SIZE_ELEMENTS; 
[DIMENSION 3]
