# PALO CUBE DATA
# 
# Description of data: 
# TIME_STAMP;SIZE_DIMENSIONS;
[CUBE]
1171632691.62980;0,0;
# Description of data: 
# PATH;VALUE 
[NUMERIC]
0,23;20;
0,5;850;
0,12;1700;
0,21;5;
0,1;600;
0,10;1500;
0,0;500;
0,4;800;
0,3;750;
0,14;1400;
0,13;1800;
0,2;700;
0,11;1600;
0,9;2200;
0,8;2100;
0,20;15;
0,6;900;
0,15;2000;
0,22;12;
0,18;300;
0,17;250;
0,7;2000;
0,16;2100;
0,19;350;
0,24;50;
# Description of data: 
# PATH;VALUE 
[STRING]
# 
# PALO CUBE DATA END
